Code,OCCUPATION,C_W_ O Context,E_D_I Context,P_P Context,Overall Risk Score
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,90,65,77,77.33
49-9081.00,Wind Turbine Service Technicians,90,5,79,58.0
11-3051.04,Biomass Power Plant Managers,89,2,44,45.0
17-3022.00,Civil Engineering Technicians,89,22,57,56.0
13-1041.06,Coroners,89,77,83,83.0
53-7021.00,Crane and Tower Operators,89,2,48,46.33
47-5011.00,"Derrick Operators, Oil and Gas",89,0,87,58.67
27-3041.00,Editors,89,0,54,47.67
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",89,2,64,51.67
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,89,5,71,55.0
33-1011.00,First-Line Supervisors of Correctional Officers,89,85,71,81.67
11-9039.02,Fitness and Wellness Coordinators,89,14,66,56.33
33-2011.02,Forest Firefighters,89,44,74,69.0
13-1131.00,Fundraisers,89,7,39,45.0
29-9092.00,Genetic Counselors,89,38,47,58.0
15-1199.09,Information Technology Project Managers,89,5,51,48.33
47-2132.00,"Insulation Workers, Mechanical",89,24,59,57.33
43-4121.00,"Library Assistants, Clerical",89,34,73,65.33
13-1081.00,Logisticians,89,8,58,51.67
31-9093.00,Medical Equipment Preparers,89,92,77,86.0
27-1026.00,Merchandise Displayers and Window Trimmers,89,2,67,52.67
31-1014.00,Nursing Assistants,89,83,91,87.67
23-2011.00,Paralegals and Legal Assistants,89,1,39,43.0
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",89,2,69,53.33
11-3061.00,Purchasing Managers,89,1,41,43.67
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,89,14,85,62.67
39-9041.00,Residential Advisors,89,24,62,58.33
41-3031.01,"Sales Agents, Securities and Commodities",89,0,43,44.0
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",89,6,46,47.0
49-2098.00,Security and Fire Alarm Systems Installers,89,20,63,57.33
51-8021.00,Stationary Engineers and Boiler Operators,89,26,60,58.33
11-9199.04,Supply Chain Managers,89,3,51,47.67
27-2012.04,Talent Directors,89,5,40,44.67
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",89,22,62,57.67
13-1151.00,Training and Development Specialists,89,2,59,50.0
33-9093.00,Transportation Security Screeners,89,55,86,76.67
25-3099.02,Tutors,89,7,81,59.0
11-3011.00,Administrative Services Managers,88,23,45,52.0
13-2011.02,Auditors,88,0,53,47.0
53-6031.00,Automotive and Watercraft Service Attendants,88,4,60,50.67
49-3022.00,Automotive Glass Installers and Repairers,88,1,50,46.33
13-2031.00,Budget Analysts,88,6,43,45.67
53-3021.00,"Bus Drivers, Transit and Intercity",88,47,78,71.0
51-3021.00,Butchers and Meat Cutters,88,3,77,56.0
29-1141.04,Clinical Nurse Specialists,88,91,80,86.33
25-1122.00,"Communications Teachers, Postsecondary",88,12,51,50.33
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",88,3,32,41.0
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",88,19,65,57.33
11-9033.00,"Education Administrators, Postsecondary",88,21,38,49.0
25-1081.00,"Education Teachers, Postsecondary",88,10,41,46.33
51-6092.00,Fabric and Apparel Patternmakers,88,1,49,46.0
25-9021.00,Farm and Home Management Advisors,88,14,43,48.33
45-1011.05,First-Line Supervisors of Logging Workers,88,3,32,41.0
27-1023.00,Floral Designers,88,25,73,62.0
17-3026.00,Industrial Engineering Technicians,88,0,52,46.67
13-2053.00,Insurance Underwriters,88,1,52,47.0
25-1112.00,"Law Teachers, Postsecondary",88,6,41,45.0
39-5092.00,Manicurists and Pedicurists,88,27,90,68.33
29-2011.00,Medical and Clinical Laboratory Technologists,88,96,72,85.33
27-2042.02,"Musicians, Instrumental",88,7,82,59.0
47-2072.00,Pile-Driver Operators,88,8,73,56.33
51-8012.00,Power Distributors and Dispatchers,88,1,66,51.67
51-8013.00,Power Plant Operators,88,6,51,48.33
11-9141.00,"Property, Real Estate, and Community Association Managers",88,2,51,47.0
53-4031.00,Railroad Conductors and Yardmasters,88,15,63,55.33
47-5061.00,"Roof Bolters, Mining",88,26,77,63.67
47-2181.00,Roofers,88,4,77,56.33
49-3093.00,Tire Repairers and Changers,88,16,65,56.33
39-7012.00,Travel Guides,88,4,53,48.33
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",87,12,43,47.33
27-1011.00,Art Directors,87,0,59,48.67
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",87,4,44,45.0
27-2032.00,Choreographers,87,3,100,63.33
25-1021.00,"Computer Science Teachers, Postsecondary",87,12,49,49.33
39-3092.00,Costume Attendants,87,8,76,57.0
13-2041.00,Credit Analysts,87,2,49,46.0
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",87,20,57,54.67
29-1031.00,Dietitians and Nutritionists,87,79,69,78.33
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",87,7,67,53.67
13-1074.00,Farm Labor Contractors,87,1,66,51.33
43-4071.00,File Clerks,87,19,47,51.0
51-3093.00,Food Cooking Machine Operators and Tenders,87,14,73,58.0
53-6051.08,Freight and Cargo Inspectors,87,8,59,51.33
11-3051.02,Geothermal Production Managers,87,4,38,43.0
27-1025.00,Interior Designers,87,7,53,49.0
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",87,35,86,69.33
37-2012.00,Maids and Housekeeping Cleaners,87,52,42,60.33
11-9111.00,Medical and Health Services Managers,87,34,45,55.33
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",87,4,40,43.67
27-2041.01,Music Directors,87,17,61,55.0
15-1142.00,Network and Computer Systems Administrators,87,3,54,48.0
13-1199.06,Online Merchants,87,0,49,45.33
51-4062.00,"Patternmakers, Metal and Plastic",87,1,64,50.67
17-2171.00,Petroleum Engineers,87,1,30,39.33
